OUTLETID,BUSNAME,ADDR1,CITY,STATE,ZIP,LATITUDE,LONGITUDE
212800006,USPS COLLECTION BOX - BLUE BOX,84 CONDOR ST,BOSTON,MA,2128,42.382625,-71.0371057
212800013,USPS COLLECTION BOX - BLUE BOX,470 MERIDIAN ST,BOSTON,MA,2128,42.382681,-71.0394222
212800031,USPS COLLECTION BOX - BLUE BOX,108 TRENTON ST,BOSTON,MA,2128,42.379358,-71.0353211
212800012,USPS COLLECTION BOX - BLUE BOX,401 BORDER ST,BOSTON,MA,2128,42.380966,-71.0402803
212800033,USPS COLLECTION BOX - BLUE BOX,81 LEXINGTON ST,BOSTON,MA,2128,42.377874,-71.0369559
212800002,USPS COLLECTION BOX - BLUE BOX,30 S BREMEN ST,BOSTON,MA,2128,42.367881,-71.0395284
212800008,USPS COLLECTION BOX - BLUE BOX,264 SUMNER ST,BOSTON,MA,2128,42.368013,-71.0378404
212800058,USPS COLLECTION BOX - BLUE BOX,256 MARGINAL ST,BOSTON,MA,2128,42.36439,-71.0337121
212800009,USPS COLLECTION BOX - BLUE BOX,328 SUMNER ST,BOSTON,MA,2128,42.367276,-71.0360266
212200026,USPS COLLECTION BOX - BLUE BOX,757 GALLIVAN BLVD,BOSTON,MA,2122,42.283908,-71.044803
212200011,USPS COLLECTION BOX - BLUE BOX,102 WALNUT ST,BOSTON,MA,2122,42.288273,-71.0402895
212200009,USPS COLLECTION BOX - BLUE BOX,398 NEPONSET AVE,BOSTON,MA,2122,42.28677,-71.0440245
221000013,USPS COLLECTION BOX - BLUE BOX,23 DRYDOCK AVE,BOSTON,MA,2210,42.344604,-71.0315284
212800011,USPS COLLECTION BOX - BLUE BOX,357 MERIDIAN ST,BOSTON,MA,2128,42.378703,-71.0391373
212800095,USPS COLLECTION BOX - BLUE BOX,235 MERIDIAN ST,BOSTON,MA,2128,42.375816,-71.03909628
